Onderwerp;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw;Landbouw
Perioden;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Energiedragers;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ;PJ
Totaal energiedragers;157,3;176,3;173,2;181,4;173,3;175,4;193,9;172,0;171,9;168,7;170,4;166,7;155,9;155,7;157,6;161,5;142,1;142,6;143,7;143,8;163,6;144,1;148,6;149,0;139,2;147,5;149,7;149,9;161,8;161,9;157,3;155,9;118,7;120,3
